username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,2017-05-06 10:59,0,0,"Same to you :) #May6WithArnab #arnab #ArnabIsBack https:// twitter.com/laluprasadrjd/ status/427321088830226432 …",,,#May6WithArnab #arnab #ArnabIsBack,"860728165408415745",https://twitter.com/gouravguptac/status/860728165408415745
,2017-05-06 10:59,0,2,"Same to you #WelcomeArnab #republictv #ArnabIsBack https:// twitter.com/laluprasadrjd/ status/427321088830226432 …",,,#WelcomeArnab #republictv #ArnabIsBack,"860728119707172864",https://twitter.com/Rinmayee/status/860728119707172864
,2017-05-06 10:58,0,0,"@republic #ArnabIsBack what a kick start man. Now the people of the nation will come to know what's the meaning of republic.",,@republic,#ArnabIsBack,"860727928145022978",https://twitter.com/habhaijayesh/status/860727928145022978
,2017-05-06 10:58,0,1,"Love to see @RealArnabG #ArnabGoswami again on #Republic after so long time ! One of my Favourite ! #ArnabIsBack",,@RealArnabG,#ArnabGoswami #Republic #ArnabIsBack,"860727921857581056",https://twitter.com/ShwetabhPathak/status/860727921857581056
,2017-05-06 10:58,1,0,"#LaluTapeExposed Ye @RealArnabG ka style h. #ArnabIsBack",,@RealArnabG,#LaluTapeExposed #ArnabIsBack,"860727859685490688",https://twitter.com/devbassy/status/860727859685490688
,2017-05-06 10:57,0,1,"Finally the wait is over!! @ArnabGoswami #ArnabIsBack",,@ArnabGoswami,#ArnabIsBack,"860727811719540736",https://twitter.com/DevayaniKulkarn/status/860727811719540736
,2017-05-06 10:57,0,0,"#Baahubali of journalism is here @republic #ArnabIsBack",,@republic,#Baahubali #ArnabIsBack,"860727770808299520",https://twitter.com/sahil_h/status/860727770808299520
,2017-05-06 10:57,0,0,"Times group - Stop using 'Nation wants to know.' Arnab - My interview show will be called 'Nation wants to know.' #ArnabIsBack",,,#ArnabIsBack,"860727740227608576",https://twitter.com/jnanadarshan/status/860727740227608576
,2017-05-06 10:57,0,0,"the big daddy of Indian news is here. #ArnabIsBack @republic",,@republic,#ArnabIsBack,"860727712754925569",https://twitter.com/djMBAetce/status/860727712754925569
,2017-05-06 10:57,0,1,"The Nation feels Empowered when they see this Fearless, Audacious, indomitable hero #ArnabIsBack The SuperHero of Journalism @republic pic.twitter.com/Rla4ViWCce",,@republic,#ArnabIsBack,"860727677812080640",https://twitter.com/chintanadva/status/860727677812080640
