"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1280","RT @iam_vinoth: <U+0BAA><U+0BA9><U+0BCD><U+0BA9><U+0BC0><U+0BB0><U+0BC1> <U+0BAA><U+0BA9><U+0BCD><U+0BA9><U+0BC0><U+0BB0><U+0BC1>..
<U+0BA4><U+0BC2><U+0B95><U+0BCD><U+0B95><U+0BC1> <U+0BAA><U+0BCB><U+0B9F><U+0BCD><U+0B9F><U+0BC1> <U+0BA4><U+0BCA><U+0B99><U+0BCD><U+0B95><U+0BC0><U+0BB0><U+0BC1> <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B2><U+00A6>

#TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 14:47:20,FALSE,NA,"828253683058081793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TamilBarathi_",97,TRUE,FALSE,NA,NA
"1281","RT @jeganjaggy: Damn I can't take it. RIP Tamil Nadu.  #TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 14:47:20,FALSE,NA,"828253682525315072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jallikattuboo",41,TRUE,FALSE,NA,NA
"1282","RT @sandhyadas_: <U+0B8E><U+0BA9><U+0BCD> <U+0BA8><U+0BBE><U+0B9F><U+0BCD><U+0B9F><U+0BC8> <U+0B86><U+0BA3><U+0BCD><U+0B9F><U+0BA4><U+0BC1> <U+0B92><U+0BB0><U+0BC1> <U+0BAA><U+0BC6><U+0BA3><U+0BCD> <U+0B8E><U+0BA9><U+0BCD><U+0BB1><U+0BC1> <U+0B95><U+0BB0><U+0BCD><U+0B9C><U+0BBF><U+0BA4><U+0BCD><U+0BA4><U+0BC1> <U+0B95><U+0BCA><U+0BA3><U+0BCD><U+0B9F><U+0BBF><U+0BB0><U+0BC1><U+0BA8><U+0BCD><U+0BA4> <U+0BA8><U+0BBE><U+0BA9><U+0BCD>, <U+0B87><U+0BAA><U+0BCD><U+0BAA><U+0BCA><U+0BB4><U+0BC1><U+0BA4><U+0BC1> <U+0B95><U+0BC2><U+0B9A><U+0BCD><U+0B9A><U+0BAA><U+0BCD><U+0BAA><U+0B9F><U+0BC1><U+0B95><U+0BBF><U+0BB1><U+0BC7><U+0BA9><U+0BCD> <ed><U+00A0><U+00BD><ed><U+00B8><U+00B6><ed><U+00A0><U+00BD><ed><U+00B8><U+0091> 
#TNSaysNo2Sasi @AdmkFails #ADM…",FALSE,0,NA,2017-02-05 14:47:19,FALSE,NA,"828253678234718208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KALAI_SELVAM_B",62,TRUE,FALSE,NA,NA
"1283","RT @ImMrRaVi: #TNSaysNo2Sasi please don't vote for the respective by election if u know what I mean<ed><U+00A0><U+00BD><ed><U+00B8><U+00AF><ed><U+00A0><U+00BD><ed><U+00B8><U+00AF><ed><U+00A0><U+00BD><ed><U+00B8><U+00AF><ed><U+00A0><U+00BD><ed><U+00B8><U+00AF>",FALSE,0,NA,2017-02-05 14:47:19,FALSE,NA,"828253675646705664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jallikattuboo",64,TRUE,FALSE,NA,NA
"1284","RT @GopiPonnusamy5: #TNSaysNo2Sasi
Tv<U+0BAF> <U+0BA8><U+0BBF><U+0BB1><U+0BC1><U+0BA4><U+0BCD><U+0BA4><U+0BC1><U+0B99><U+0BCD><U+0B95><U+0B9F><U+0BBE> .<U+0B87><U+0BB2><U+0BCD><U+0BB2> sound<U+0B85> <U+0B95><U+0BC6><U+0BB1>. <U+0B8E><U+0BA9><U+0BCD><U+0BA9>  v___i___e <U+0B9F><U+0BBE> <U+0B85><U+0BA4><U+0BC1>.  <U+0B92><U+0BB0><U+0BC7> irritating<U+0B86> <U+0B87><U+0BB0><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BC1><U+0BA4><U+0BC1>..",FALSE,0,NA,2017-02-05 14:47:16,FALSE,NA,"828253664246587396",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lakshmanan95564",2,TRUE,FALSE,NA,NA
"1285","RT @sri_94: Black day in the history of TN!! #TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 14:47:16,FALSE,NA,"828253663168655360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jallikattuboo",345,TRUE,FALSE,NA,NA
"1286","RT @akashrishism: Tag says everything <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 14:47:15,FALSE,NA,"828253660144607232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kambanMKS",7,TRUE,FALSE,NA,NA
"1287","RT @iamHarunKanth: School boy moments 

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> Quarterly Exam

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> half yearly Exam

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> Final Exam 

#TNSaysNo2Sasi https://t.co/ijIsYmKfJC",FALSE,0,NA,2017-02-05 14:47:15,FALSE,NA,"828253658378883072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TONYTENEZLOVER",43,TRUE,FALSE,NA,NA
"1288","RT @SarcasticDaemon: #Sasikala wants to be #TamilNaduCM, Tamil youth instead of fighting for Ajith &amp; Vijay should fight for their future. #…",FALSE,0,NA,2017-02-05 14:47:14,FALSE,NA,"828253656432648194",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","N_ZE_dIdO",1,TRUE,FALSE,NA,NA
"1289","RT @tamizhanlink: <U+0BA4><U+0BAE><U+0BBF><U+0BB4><U+0B95><U+0BA4><U+0BCD><U+0BA4><U+0BC8> <U+0B8E><U+0BAE><U+0BCD><U+0BAE><U+0B95><U+0BCD><U+0B95><U+0BB3><U+0BCD> <U+0B87><U+0BA8><U+0BCD><U+0BA4> <U+0B85><U+0BA4><U+0BBF><U+0BAE><U+0BC1><U+0B95> <U+0B85><U+0BAA><U+0BCD><U+0BAA><U+0BB0><U+0B9A><U+0BA3><U+0BCD><U+0B9F><U+0BBF><U+0B95><U+0BB3><U+0BBF><U+0B9F><U+0BAE><U+0BCD> <U+0B87><U+0BB0><U+0BC1><U+0BA8><U+0BCD><U+0BA4> <U+0B95><U+0BBE><U+0BAA><U+0BCD><U+0BAA><U+0BBE><U+0BB1><U+0BCD><U+0BB1><U+0BC1><U+0BB5><U+0BB0><U+0BCD>. <U+0B87><U+0BA9><U+0BBF> <U+0B87><U+0BB0><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BC1> <U+0B9F><U+0BBE> <U+0B89><U+0B99><U+0BCD><U+0B95><U+0BB3><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BC1>

#TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 14:47:13,FALSE,NA,"828253651428790277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PagalavanPani",1,TRUE,FALSE,NA,NA
"1290","RT @aishwarya271828: That imposter. #sasikala  #TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 14:47:12,FALSE,NA,"828253649159598082",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jallikattuboo",8,TRUE,FALSE,NA,NA
"1291","When Constitution allows any ____ can become CM, what we need is Right to people to call for Reelection,
Let us voice for it
#TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 14:47:12,FALSE,NA,"828253647976833025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamsridharan",1,FALSE,FALSE,NA,NA
"1292","RT @velm446: <U+0B87><U+0BA8><U+0BCD><U+0BA4><U+0BBE> <U+0B86><U+0BB0><U+0BAE><U+0BCD><U+0BAA><U+0BBF><U+0B9A><U+0BCD><U+0B9A><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BBE><U+0B99><U+0BCD><U+0B95><U+0BB2> <U+0BB0><U+0BB5><U+0BC1><U+0B9F><U+0BBF><U+0BB8><U+0BA4><U+0BCD><U+0BA4>..

<U+0B87><U+0BA9><U+0BBF> <U+0BA4><U+0BAE><U+0BBF><U+0BB4><U+0BCD><U+0BA8><U+0BBE><U+0B9F><U+0BCD><U+0B9F><U+0BBF><U+0BB2><U+0BCD> <U+0B8E><U+0BA9><U+0BCD><U+0BA9> <U+0BA8><U+0B9F><U+0B95><U+0BCD><U+0B95><U+0BC1><U+0BAE><U+0BCB> <U+0B86><U+0BA3><U+0BCD><U+0B9F><U+0BB5><U+0BA9><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BC1><U+0BA4><U+0BBE><U+0BA9><U+0BCD> <U+0BB5><U+0BC6><U+0BB3><U+0BBF><U+0B9A><U+0BCD><U+0B9A><U+0BAE><U+0BCD>.

#TNSaysNo2Sasi #RIPTamilNadu…",FALSE,0,NA,2017-02-05 14:47:11,FALSE,NA,"828253642385932290",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","icloud_walker",39,TRUE,FALSE,NA,NA
"1293","RT @shravv93: CR Saraswathi should be sent to deal with the problem in Syria,she will become a spokesperson of ISIS , to say they are right…",FALSE,0,NA,2017-02-05 14:47:10,FALSE,NA,"828253639655329794",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jallikattuboo",7,TRUE,FALSE,NA,NA
"1294","RT @fidonomics: <U+0B85><U+0BAE><U+0BCD><U+0BAE><U+0BBE> <U+0BAE><U+0BC1><U+0B95><U+0BCD><U+0BA4><U+0BBF> <U+0B85><U+0B9F><U+0BC8><U+0BA8><U+0BCD><U+0BA4><U+0BBE><U+0BB0><U+0BCD>, <U+0BA8><U+0BBE><U+0BAE><U+0BCD> <U+0B9A><U+0BBF><U+0BA4><U+0BCD><U+0BA4><U+0BBF> <U+0B85><U+0B9F><U+0BC8><U+0BA8><U+0BCD><U+0BA4><U+0BCB><U+0BAE><U+0BCD>..

#TNSaysNo2Sasi",FALSE,0,NA,2017-02-05 14:47:10,FALSE,NA,"828253639403778049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dharanishraja",21,TRUE,FALSE,NA,NA
"1295","RT @The_LastFarmer: <ed><U+00A0><U+00BD><ed><U+00B8><U+0085><ed><U+00A0><U+00BD><ed><U+00B8><U+0085><ed><U+00A0><U+00BD><ed><U+00B8><U+0085> #TNSaysNo2Sasi https://t.co/vyeICn07Nm",FALSE,0,NA,2017-02-05 14:47:09,FALSE,NA,"828253635880443904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","santhanam5806",6,TRUE,FALSE,NA,NA
"1296","#TNSaysNo2Sasi  This time we don't need any sponsors for food. We parents will cook and help the protesters. It is our duty too.",FALSE,0,NA,2017-02-05 14:47:09,FALSE,NA,"828253635352031232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sujatagrk",1,FALSE,FALSE,NA,NA
"1297","RT @RGangulian: #TNSaysNo2Sasi https://t.co/n8niY8AFwK",FALSE,0,NA,2017-02-05 14:47:09,FALSE,NA,"828253635154808832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lakshmanan95564",1,TRUE,FALSE,NA,NA
"1298","RT @Kozhiyaar: <U+0B85><U+0B9F><U+0BC1><U+0BA4><U+0BCD><U+0BA4><U+0BC1> <U+0BB5><U+0BB0><U+0BC1><U+0BAE><U+0BCD> <U+0B87><U+0B9F><U+0BC8><U+0BA4><U+0BCD><U+0BA4><U+0BC7><U+0BB0><U+0BCD><U+0BA4><U+0BB2><U+0BBF><U+0BB2><U+0BC1><U+0BAE><U+0BCD> <U+0BB5><U+0BC6><U+0BB1><U+0BCD><U+0BB1><U+0BBF><U+0BAA><U+0BCD> <U+0BAA><U+0BC6><U+0BB1><U+0BCD><U+0BB1><U+0BC1> <U+0BB5><U+0BBF><U+0B9F><U+0BC1><U+0BB5><U+0BBE><U+0BB0><U+0BCD><U+0B95><U+0BB3><U+0BCD>!!
#TNSaysNo2Sasi <U+0BB2><U+0BBE><U+0BAE><U+0BCD> <U+0B9A><U+0BC1><U+0BAE><U+0BCD><U+0BAE><U+0BBE>!!!",FALSE,0,NA,2017-02-05 14:47:08,FALSE,NA,"828253631044542468",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kozhiyaar",42,TRUE,FALSE,NA,NA
