"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2807","Watch

Delhi CM .@ArvindKejriwal on how #Demonetization is a complete... https://t.co/pg1q0MHww2 by #AamAadmiParty via @c0nvey",FALSE,0,NA,2016-11-29 07:27:13,FALSE,NA,"803500546900561920",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","missrozy00",0,FALSE,FALSE,NA,NA
"2808","RT @SirJadeja: Yes, #<U+092E><U+094B><U+0926><U+0940>_<U+092B><U+093F><U+0930><U+0915><U+0940>_<U+0932><U+0947>_<U+0930><U+0939><U+093E>_<U+0939><U+0948>. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !…",FALSE,0,NA,2016-11-29 07:27:04,FALSE,NA,"803500508325576704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gambhir007",309,TRUE,FALSE,NA,NA
"2809","RT @MANJULtoons: #DeMonetization #CashlessIndia  My #cartoon https://t.co/kKweizbtui",FALSE,0,NA,2016-11-29 07:26:42,FALSE,NA,"803500415387987968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","subrat_panda",641,TRUE,FALSE,NA,NA
"2810","Snowwhite ur #blackmoney by giving 50% to govt! Some incentiveWas 4 this people queued in lines? @narendramodi @FinMinIndia #DEMONETIZATION",FALSE,0,NA,2016-11-29 07:26:40,FALSE,NA,"803500409201397760",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","iamanurag04",0,FALSE,FALSE,NA,NA
"2811","RT @ShashiTharoor: More disquieting news for those who naively hoped that @PMOIndia had done its homework&amp;planning b4 #demonetization:
http…",FALSE,0,NA,2016-11-29 07:26:23,FALSE,NA,"803500339445919744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mahantesharali",278,TRUE,FALSE,NA,NA
"2812","RT @dhume: Moody's is cautiously optimistic on #demonetization: short term pain, but likely medium term gains. https://t.co/8V50cX3jyF",FALSE,0,NA,2016-11-29 07:26:19,FALSE,NA,"803500319057518592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ambadi999",130,TRUE,FALSE,NA,NA
"2813","RT @BeSriSri: Some loopholes/reasons why #Demonetization will make no difference to black-money, at all,
until political funding is under R…",FALSE,0,NA,2016-11-29 07:26:09,FALSE,NA,"803500279383457792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Srinuminpro",11,TRUE,FALSE,NA,NA
"2814","RT @vidyarthee: ""10 Reasons Why BJP's #Demonetization Move Is An Unmitigated — And Politically Motivated — Disaster"" https://t.co/0wpqrddmp…",FALSE,0,NA,2016-11-29 07:26:07,FALSE,NA,"803500271812775936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmritaDhawan1",112,TRUE,FALSE,NA,NA
"2815","RT @LillyMaryPinto: Telangana Chief Minister K. Chandrashekar Rao extends his full support to PM Modi's #Demonetization  move 
Jai Ho<ed><U+00A0><U+00BD><ed><U+00B9><U+008C> http…",FALSE,0,NA,2016-11-29 07:25:30,FALSE,NA,"803500117525483520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rajeevk45",127,TRUE,FALSE,NA,NA
"2816","RT @SirJadeja: Yes, #<U+092E><U+094B><U+0926><U+0940>_<U+092B><U+093F><U+0930><U+0915><U+0940>_<U+0932><U+0947>_<U+0930><U+0939><U+093E>_<U+0939><U+0948>. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !…",FALSE,0,NA,2016-11-29 07:25:11,FALSE,NA,"803500035220656128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PIYUSHFD",309,TRUE,FALSE,NA,NA
